第3页: ('http://img3m8.ddimg.cn/23/21/28545188-1_b_10.jpg', ' 南江十七夏（《少年的你，如此美丽》作者玖月��温暖初夏之作。随书附赠暖心后记+主角书签。）', '39.90')
第3页: ('http://img3m1.ddimg.cn/86/15/28967981-1_b_3.jpg', ' 恰似寒光遇骄阳3（完结篇共2册）', '32.89')
第3页: ('http://img3m6.ddimg.cn/47/28/28507196-1_b_11.jpg', ' 我想住在你心上（我想住在你心上，不长，就一生。内含暖萌甜番外。赠情感测试卷＋精美书签）', '32.50')
第3页: ('http://img3m0.ddimg.cn/9/18/28486170-1_b_22.jpg', ' 我不怕这漫长黑夜（何炅，韩寒真挚推荐，吴昕，尼格买提，肖央，魏大勋感动阅读，愿在孤单迷茫中，我们的坚持都被照亮）', '22.50')
第3页: ('http://img3m1.ddimg.cn/90/19/28499121-1_b_6.jpg', ' 恰似寒光遇骄阳2（共2册）', '32.89')
第3页: ('http://img3m2.ddimg.cn/71/20/28541672-1_b_5.jpg', ' 他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。）', '19.90')
第3页: ('http://img3m8.ddimg.cn/69/29/28973508-1_b_14.jpg', ' 游戏加载中（套装共2册）', '49.80')
第3页: ('http://img3m8.ddimg.cn/7/14/29174218-1_b_5.jpg', ' 入池3（网络原名：不要在垃圾桶里捡男朋友）', '32.80')
第3页: ('http://img3m2.ddimg.cn/85/10/1798122532-1_b_6.jpg', ' 【文轩柒灵授权飞机盒+横幅海报+立牌+长幅漫画x2】海棠微雨共归途 肉包不吃肉著二哈和他的白猫师尊实体书青春言情小说正版', '34.40')
第3页: ('http://img3m5.ddimg.cn/8/8/29117195-1_b_5.jpg', ' 西城往事', '21.40')
第3页: ('http://img3m2.ddimg.cn/14/30/24187892-1_b_5.jpg', ' 打火机与公主裙 荒草园', '18.00')
第3页: ('http://img3m4.ddimg.cn/60/23/27904794-1_b_20.jpg', ' 只能陪你走一程（蕊希2019新作）', '24.90')
第3页: ('http://img3m5.ddimg.cn/66/23/25078845-1_b_6.jpg', ' 因为风就在那里（全两册）（人气作家玖月��“追风”系列第二季！', '22.50')
第3页: ('http://img3m2.ddimg.cn/60/12/29165262-1_b_9.jpg', ' 你是我的小甜美（《你是迟来的欢喜》作者顾了之甜蜜新作，高糖预警！随书附赠婚礼请柬+羽毛书签）', '34.90')
第3页: ('http://img3m0.ddimg.cn/44/6/28977740-1_b_11.jpg', ' 暮山见忘集（高人气作家丁墨首部短篇故事集。随书附赠：情侣打卡表+精美书签+特绘剧情彩插。）', '22.50')
第3页: ('http://img3m9.ddimg.cn/98/4/25184609-1_b_8.jpg', ' 许我向你看：插图纪念版（全三册）（因为爱情，每个人伤痕累累，每个人罪孽深重。）', '73.10')
第3页: ('http://img3m8.ddimg.cn/29/29/25065938-1_b_11.jpg', ' 一粒红尘・昭觉：独家纪念版（新老版本随机发货）', '14.80')
第3页: ('http://img3m9.ddimg.cn/78/0/29167359-1_b_12.jpg', ' 不死者（《破云》《提灯印桃花》作家淮上燃情热血之作）', '36.40')
第3页: ('http://img3m0.ddimg.cn/37/3/29246320-1_b_10.jpg', ' 浮生物语5下・裟椤敖炽（亲笔签名版）', '59.80')
第3页: ('http://img3m5.ddimg.cn/22/8/29142355-1_b_12.jpg', ' 纸飞机', '26.60')
第3页: ('http://img3m1.ddimg.cn/35/30/24163361-1_b_3.jpg', ' 时间的女儿（八月长安赤心之作）', '22.50')
第3页: ('http://img3m2.ddimg.cn/25/31/25477972-1_b_11.jpg', ' 以你为名的小时光（暖甜系作家东奔西顾唯美浪漫之作。那一年，我叫江蝴蝶，你叫巧乐兹。 时光，以你为名。）', '19.90')
第3页: ('http://img3m6.ddimg.cn/76/34/26317246-1_b_9.jpg', ' 知否知否应是绿肥红瘦全集（全六卷）', '179.60')
第3页: ('http://img3m2.ddimg.cn/15/26/25168092-1_b_5.jpg', ' 哑舍.古董小传', '39.80')
第3页: ('http://img3m4.ddimg.cn/94/26/26910274-1_b_8.jpg', ' 十二年故人戏（墨宝非宝新书全两册，赠拉页婚书）', '55.20')
第3页: ('http://img3m7.ddimg.cn/92/12/29115497-1_b_5.jpg', ' 入池（网络原名：不要在垃圾桶里捡男朋友）', '32.80')
第3页: ('http://img3m3.ddimg.cn/38/31/28525403-1_b_3.jpg', ' 黎明前他会归来', '34.50')
第3页: ('http://img3m8.ddimg.cn/64/3/28981918-1_b_9.jpg', ' 漂亮的他不说话', '26.60')
第3页: ('http://img3m0.ddimg.cn/6/5/29219460-1_b_3.jpg', ' 一秒沦陷（套装共2册）', '45.37')
第3页: ('http://img3m6.ddimg.cn/12/26/29168976-1_b_19.jpg', ' 再见李桥（当当专享签名本 电影《少年的你》原著作者玖月��全新力作 温暖又冷冽的青春成长小说）', '18.00')
第3页: ('http://img3m3.ddimg.cn/28/6/28539253-1_b_7.jpg', ' 黎明前他会归来.完结篇', '32.20')
第3页: ('http://img3m5.ddimg.cn/26/15/29234825-1_b_6.jpg', ' 折纸蚂蚁：军装下的绕指柔（赠明信片+书签）影视剧《爱上特种兵》（曾用名：亲爱的戎装）的原著小说', '32.40')
